mots,fréquence d'apparition depuis début 2023
"['auditionner', 'senat', 'écologique', 'domaine', 'bâtir', 'scolaire', 'leandrinathalie', 'viceprer', 'charge', 'léducation', 'numérique', 'éducatif', 'présenter', 'engagement', 'hautsdeseine', 'matière', 'construction', 'rénovation', 'collège', 'départemental']",1
"['écologique', 'vert', 'charbon', 'charbon', 'charbooooooooooooon']",1
"['petit', 'précision', 'écologique', 'faire', 'cobalt', 'totalement', 'faux', 'faire', 'uniquement', 'réduire', 'niveau', 'consommation', 'arrêton', 'croire', 'technologie', 'sauver', 'dangereux']",1
"['zfe', 'monde', 'franchit', 'étape', 'important', 'lyonturin', 'incomplet', 'volonté', 'écologique', 'davidkimelfeld', 'ancien', 'président', 'métropole', 'lyonx000d', 'x000d', 'leprogresfrpolitique2023']",1
"['mec', 'dire', 'sappell', 'jancovici', 'directeur', 'theshiftpr0jectx000d', 'x000d', 'soutenir', 'programm', 'lfi', 'programme', 'compatible', 'écologiquex000d', 'x000d', 'merde', 'oreille']",1
"['vien', 'regarder', 'envoyespecial', 'horrifier', 'maman', 'ému', 'larme', 'voir', 'paient', 'prix', 'écologique', 'x000d', 'monde', 'dégoûter', 'x000d', 'capitalisme', 'exploitation', 'cobalt', 'coltan', 'chiner', 'x000d', 'chose']",1
"['bel', 'écologique', 'exploiter', 'mine', 'cobalt', 'servir', 'batterie', 'électrique', 'tuer', 'provoquer', 'malformation', 'enfantsx000d', 'envoyéspécial']",1
"['outrer', 'content', 'occidental', 'regarder', 'ceciavec', 'écologique', 'prix', 'sang', 'gongolaisecologie', 'merd']",1
"['bonsoir', 'x000d', 'x000d', 'préfecture', 'département', 'yonn', 'émettre', 'vigilanc', 'restriction', 'spécifique', 'eal', 'superficiel', 'x000d', 'x000d', 'propluvia', 'ministère', 'écologique']",1
"['volonté', 'point', 'écologique', 'spécificité', 'france', 'agriculteur', 'vertueux', 'monde', 'manqu', 'jouer', 'tour', 'x000d', 'x000d', 'lefigarofrsocietesagricul']",1
"['croire', 'représenter', 'écologique', 'entendre', 'parlerx000d', 'phras']",1
"['cherche', 'emploi', 'foir', 'lemploi', 'écologique', 'fete', 'linkedincomeventsfoiredel']",1
"['volonté', 'point', 'écologique', 'spécificité', 'france', 'agriculteur', 'vertueux', 'monde']",1
"['majorité', 'bien', 'consommation', 'venir', 'chinex000d', 'écologiquex000d', 'critiquer', 'faudrait', 'cul', 'propre']",1
"['stock', 'kérosèn', 'aéroport', 'parisien', 'devenir', 'critique', 'prévenir', 'ministr', 'écologique', 'chercher', 'lerreur']",1
"['agnè', 'pannierrunacher', 'brune', 'poirson', 'elisabeth', 'borne', 'ministre', 'écologique']",1
"['stock', 'kérosèn', 'aéroport', 'parisien', 'devenir', 'critique', 'prévenir', 'ministre', 'écologiquex000d', 'x000d', 'vol', 'destination', 'pariscdg', 'appeler', 'emporter', 'maximum', 'carburant', 'aéroport', 'doriginex000d', 'x000d', 'manifestation', 'grevegeneral']",1
"['labri', 'tweet', 'viral', 'balancer', 'lexistence', 'ministèr', 'ecologiqu', 'foutage', 'gueul', 'lhallali']",1
"['gauche', 'programme', 'deffectuer', 'écologiquex000d', 'x000d', 'decroissance', 'sortie', 'capitalism', 'solution']",1
"['dire', 'connai', 'écologique', 'dénigrer', 'préserver', 'monde', 'vivable', 'partir', 'pirate', 'délir', 'technosolutionnist', 'paradoxal']",1
"['vend', 'brosse', 'dent', 'électrique', 'influenceur', 'lindustrie', 'automobile', 'diffamer', 'agence', 'public', 'oeuvre', 'écologique', 'lindépendance', 'énergétiquex000d', 'donne', 'leçon', 'scientifique', 'giecx000d', 'honte', 'bue']",1
