Content,Clean_Tweet,Date
"[Parution] Le droit économique, levier de la transition écologique ?, dir. Aude-Solveig Epstein et Marie Nioche @larciergrp @marienioche univ-droit.fr/recherche/actu…","['parution', 'droit', 'économique', 'levier', 'transition', 'écologique', 'dir', 'audesolveig', 'epstein', 'marie', 'nioch', 'larciergrp', 'marienioche', 'univdroitfrrechercheactu']",2023-01-03
"Industrie et transition écologique vont de pair._x000D_
_x000D_
Réunion de travail avec @RolandLescure pour évoquer l'industrie française dans nos territoires._x000D_
_x000D_
Nos objectifs : promouvoir l'emploi, accélérer la décarbonation et soutenir un plan d’investissement massif avec #France2030.","['industrie', 'transition', 'écologique', 'pairx000d', 'x000d', 'réunion', 'travail', 'rolandlescur', 'évoquer', 'lindustrie', 'français', 'territoiresx000d', 'x000d', 'objectif', 'promouvoir', 'lemploi', 'accélérer', 'décarbonation', 'soutenir', 'plan', 'investissement', 'massif', 'france2030']",2023-01-03
"HELLO WORLD 🌎🌈🍃💦☀️En 2023, je souhaite aux #étudiants de Compétences et Développement, réseau d'écoles et centres de formation en France et à l'International d'être les ACTEURS de la transition écologique et sociale. Assurer l'AVENIR, s'engager et inventer un nouveau modèle.","['hello', 'world', 'souhaiter', 'étudiant', 'compétence', 'développement', 'réseau', 'décole', 'centre', 'formation', 'france', 'linternational', 'dêtr', 'acteur', 'transition', 'écologique', 'social', 'assurer', 'lavenir', 'sengager', 'inventer', 'modèle']",2023-01-03
Commencer l'année avec un projet de média centré sur les questions de transition écologique... j'adore ! lnkd.in/dmBTdkVN,"['commencer', 'lanner', 'projet', 'média', 'centré', 'question', 'transition', 'écologique', 'jadore', 'lnkdindmbtdkvn']",2023-01-03
"A Ungersheim, village pionnier de la transition écologique, l’objectif d’autonomie énergétique et alimentaire repoussé en raison de la crise_x000D_
lemonde.fr/planete/article/2…","['ungersheim', 'village', 'pionnier', 'transition', 'écologique', 'objectif', 'autonomie', 'énergétique', 'alimentaire', 'repousser', 'raison', 'crisex000d', 'lemondefrplanetearticle2']",2023-01-03
"Ce n’est pas la jeunesse, génération consciente, engagée, créative qui a besoin d’être formée en urgence sur la transition écologique, mais le Président de la République.","['jeuness', 'génération', 'conscient', 'engager', 'créatif', 'besoin', 'former', 'urgenc', 'transition', 'écologique', 'président', 'républiqu']",2023-01-03
dans l'idée tu pourrais compléter la transition écologique avec un tram je suis sur,"['lider', 'compléter', 'transition', 'écologique', 'tram']",2023-01-03
"@Amiel_David_ n’a pas compris que le but c’est de faire des économies sur les retraites pour financer d’autres réformes à venir sur l’école, la santé, la transition écologique… pas de créer des dépenses supplémentaires. 🙄","['amieldavid', 'économie', 'retraite', 'financer', 'réforme', 'venir', 'école', 'santé', 'transition', 'écologique', 'créer', 'dépense', 'supplémentaire']",2023-01-03
"L’écologie politique n’est pas le pré-carré des entreprises qui travaillent dans la rénovation thermique, il faut que d’autres profils socio-professionnels s’en saisissent. _x000D_
_x000D_
Ce n’est que le début de débats qui réuniront d’autres acteurs de la transition écologique.","['écologie', 'politique', 'précarré', 'entreprise', 'travailler', 'rénovation', 'thermique', 'profil', 'socioprofessionnel', 'saisissent', 'x000d', 'x000d', 'débat', 'réunir', 'acteur', 'transition', 'écologique']",2023-01-03
"La transition énergétique se fera quoi qu'il en coûte, en répliquant certains modèles, c'est la transition écologique que l'on met à l'épreuve.","['transition', 'énergétique', 'faire', 'coûter', 'répliquer', 'modèle', 'transition', 'écologique', 'lon', 'mettre', 'lépreuve']",2023-01-03
"La guerre en Ukraine et la Transition Ecologique sont les 2 faces d'une même pièce._x000D_
C'est la guerre qui amène la TE._x000D_
S'il ne pouvait pas prévoir la guerre, il ne pouvait pas prévoir la Crise Climatique.😅_x000D_
Sans guerre pas de TE donc pas de CC._x000D_
_x000D_
CQFD.","['guerre', 'ukrain', 'transition', 'ecologiqu', 'face', 'piècex000d', 'guerre', 'amène', 'tex000d', 'sil', 'prévoir', 'guerre', 'prévoir', 'crise', 'climatique', 'x000d', 'guerre', 'ccx000d', 'x000d', 'cqfd']",2023-01-03
C'est faire payer le poids exorbitant des retraites sur les actifs qui devront en plus supporter le cout de la transition écologique et la dette publique. Ou comment les privilégiés du babyboom font payer les générations nés après 1980.,"['payer', 'poids', 'exorbiter', 'retraite', 'actif', 'devoir', 'supporter', 'cout', 'transition', 'écologique', 'dette', 'public', 'privilégier', 'babyboom', 'payer', 'génération', 'naître']",2023-01-03
"Communiquaction News: @TF1Info: '🔴Les Rencontres de l'Info @TF1 @LCI en partenariat avec @LeCLEMI se délocalisent pour la 1ère fois_x000D_
_x000D_
🌍Transition écologique, quel traitement dans nos RDV d'info? _x000D_
_x000D_
📍Le @GroupeTF1 a cho… nitter.net/TF1Info/status/1…, see more tweetedtimes.com/communiquac…","['communiquaction', 'news', 'tf1info', 'rencontre', 'linfo', 'tf1', 'lci', 'partenariat', 'leclemi', 'délocalisent', '1ère', 'foisx000d', 'x000d', 'transition', 'écologique', 'traitement', 'rdv', 'dinfo', 'x000d', 'x000d', 'groupetf1', 'cho', 'nitternettf1infostatus1', 'see', 'tweetedtimescomcommuniquac']",2023-01-03
"Enseignement : Sciences Po_x000D_
_x000D_
Fonction : Ministre de la Transition écologique et de la Cohésion des territoires de France depuis 2022_x000D_
_x000D_
Gouvernement : Borne_x000D_
_x000D_
Président : Emmanuel Macron","['enseignement', 'sciencer', 'pox000d', 'x000d', 'fonction', 'ministre', 'transition', 'écologique', 'cohésion', 'territoire', 'france', '2022x000d', 'x000d', 'gouvernement', 'bornex000d', 'x000d', 'président', 'emmanuel', 'macron']",2023-01-03
Notre ministre de la transition écologique @ChristopheBechu veut controler des 2023 les fast-foods qu'il commence par contrôler son ministère..... #ecologie #mcdo #Burgerking #kfc,"['ministre', 'transition', 'écologique', 'christophebechu', 'controler', 'fastfoods', 'commencer', 'contrôler', 'ministère', 'ecologie', 'mcdo', 'burgerking', 'kfc']",2023-01-03
L’occasion d’ évoquer les principales orientations du futur plan de transition écologique de la Ville,"['occasion', 'évoquer', 'principal', 'orientation', 'futur', 'plan', 'transition', 'écologique', 'ville']",2023-01-03
"Ils font la transition écologique à l'envers, ils remplacent le bas carbone par le haut carbone._x000D_
Bon après on est en Belgique donc faut pas s'étonner mais c'est incompréhensible que la règlementation européenne n'interdise pas de faire ça.","['transition', 'écologique', 'lenver', 'remplacent', 'carbon', 'carbonex000d', 'belgiqu', 'sétonner', 'incompréhensible', 'règlementation', 'européen', 'ninterdis']",2023-01-04
"Aucune transition écologique ne pourra avoir lieu sans un transfert du fossile vers de l'⚡ décarbonnée. Celui-ci n'aura pas lieu, et nos entreprises, quelque soit leur taille, ne survivront si elles ne bénéficient pas d'un prix de l'⚡ mesuré & stable.","['transition', 'écologique', 'pouvoir', 'transfert', 'fossile', 'décarbonner', 'celuici', 'naurer', 'entreprendre', 'taille', 'survivre', 'bénéficier', 'prix', 'mesurer', 'stable']",2023-01-04
"De toute évidence les services publics sont à l'agonie en France. On se demande bien comment les autorités vont piloter l'adaptation au réchauffement climatique et la transition écologique dans ces conditions. Si tant est qu'elles s'y intéressent._x000D_
#France #servicepublic #climat","['évidence', 'service', 'public', 'lagonie', 'france', 'autorité', 'piloter', 'ladaptation', 'réchauffemer', 'climatique', 'transition', 'écologique', 'condition', 'sy', 'intéressentx000d', 'france', 'servicepublic', 'climat']",2023-01-04
"Et si la boulangerie devient ""Association pour la promotion de la transition écologique et démocratique de la baguette européenne à col roulé"", elle bénéficie du tarif vert, moins cher que le bleu ?","['boulangerie', 'devenir', 'association', 'promotion', 'transition', 'écologique', 'démocratique', 'baguette', 'européen', 'col', 'rouler', 'bénéficier', 'tarif', 'vert', 'bleu']",2023-01-04
Actu-Environnement élargit son offre éditoriale #transition #écologique actu-environnement.com/ae/ne…,"['actuenvironnement', 'élargir', 'offrir', 'éditorial', 'transition', 'écologique', 'actuenvironnementcomaen']",2023-01-04
"TF1 INFO: La transition écologique, un leurre doublé d'une chimère !._x000D_
buff.ly/3CoXV9Y","['tf1', 'info', 'transition', 'écologique', 'leurre', 'doublé', 'chimèr', 'x000d', 'buffly3coxv9y']",2023-01-04
Les baigneurs pas refroidis par la baisse d’un degré dans les piscines de l’agglomération de Vannes #Vannes #Elven #Transition écologique @OuestFrance ouest-france.fr/bretagne/van…,"['baigneur', 'refroidi', 'baiss', 'degré', 'piscine', 'agglomération', 'vanne', 'vanne', 'elven', 'transition', 'écologique', 'ouestfrance', 'ouestfrancefrbretagnevan']",2023-01-04
"À Laval, plus de 1 000 arbres seront plantés dès février 2023 #Laval #Biodiversité #Transition écologique @OuestFrance ouest-france.fr/pays-de-la-l…","['laval', 'arbre', 'planter', 'février', 'laval', 'biodiversité', 'transition', 'écologique', 'ouestfrance', 'ouestfrancefrpaysdelal']",2023-01-04
"Top story: @sylvainbruno: 'Transition écologique, innovation, marketing…à lire en cette rentrée dans @Strategies l’interview croisée @Cheydema & @LucaDe_Meo.  @derochegonde. ' nitter.net/sylvainbruno/sta…, see more tweetedtimes.com/v/19050?s=t…","['top', 'story', 'sylvainbruno', 'transition', 'écologique', 'innovation', 'marketing', 'lire', 'rentrer', 'strategier', 'interview', 'croiser', 'cheydema', 'lucademeo', 'derochegond', 'nitternetsylvainbrunosta', 'see', 'tweetedtimescomv19050st']",2023-01-04
"Si ça vous fait plaisir. Mais moi en tout cas je ne suis en aucun cas partisan d’une écologie punitive, comme vous. Et ce n’est pas avec ces figures écolos et des propositions toujours des plus farfelues et totalement à côté de la plaque, qu’on réussira la transition écologique.","['plaisir', 'cas', 'cas', 'partisan', 'écologie', 'punitif', 'figure', 'écolo', 'proposition', 'farfelu', 'totalement', 'côté', 'plaqu', 'réussir', 'transition', 'écologique']",2023-01-04
